preamble,stimulus,item,category,"score (sum, mean, [list)",params,model
"A list includes raven, goldfinch, robin and swan. In the list a mockingbird is",present.,mockingbird,bird,"[-3.03125, -2.796875, -3.125, -3.03125, -2.90625, -2.6875, -3.25, -3.03125, -3.46875, -2.625, -2.78125, -3.375, -2.75, -2.71875, -2.71875, -2.75, -3.390625, -3.03125, -2.5, -2.96875, -2.90625, -2.9375, -2.46875, -3.28125, -2.5, -2.78125, -2.625, -2.78125, -2.625, -3.1875, -3.0, -3.59375, -3.0, -3.078125, -2.8125, -2.71875, -3.203125, -3.15625, -2.9375, -3.0625, -2.9375, -3.09375, -2.875, -3.53125, -3.375, -2.875, -3.21875, -2.875, -3.3125, -2.59375]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a buzzard is",present.,buzzard,bird,"[-3.34375, -3.53125, -2.84375, -2.46875, -2.90625, -2.9375, -2.78125, -3.71875, -3.3125, -4.125, -4.03125, -3.375, -3.1875, -3.0, -3.0625, -2.6875, -3.71875, -2.875, -3.21875, -3.0625, -3.375, -3.03125, -3.34375, -3.40625, -3.5, -3.46875, -2.8125, -3.15625, -3.15625, -3.34375, -2.75, -2.53125, -3.09375, -2.9375, -3.25, -2.875, -3.84375, -3.53125, -3.0, -3.34375, -2.875, -3.4375, -2.625, -3.5625, -3.21875, -3.59375, -3.15625, -2.78125, -3.09375, -3.28125]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a hummingbird is",present.,hummingbird,bird,"[-3.25, -2.75, -3.71875, -3.109375, -3.25, -3.640625, -3.03125, -3.09375, -1.96875, -3.53125, -3.3125, -3.3125, -3.0625, -2.625, -3.28125, -2.375, -3.4375, -2.96875, -3.09375, -3.09375, -3.5625, -3.03125, -3.6875, -3.40625, -2.5625, -2.625, -3.65625, -3.0625, -4.015625, -3.359375, -3.15625, -3.03125, -3.5, -2.96875, -3.0, -2.90625, -3.28125, -3.4375, -3.03125, -2.8125, -3.0, -2.65625, -2.796875, -3.203125, -3.03125, -2.96875, -3.65625, -2.875, -2.90625, -2.8125]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a flamingo is",present.,flamingo,bird,"[-2.6875, -2.75, -2.671875, -2.984375, -3.28125, -2.96875, -3.03125, -3.25, -2.875, -2.75, -2.75, -3.1875, -2.9375, -2.4375, -2.75, -2.75, -3.71875, -3.09375, -3.28125, -2.6875, -2.78125, -2.8125, -3.25, -2.75, -2.96875, -2.8125, -3.25, -2.84375, -3.25, -2.5625, -3.09375, -2.46875, -3.34375, -3.5, -2.71875, -3.0, -2.75, -3.3125, -2.75, -2.90625, -2.8125, -3.125, -3.03125, -3.28125, -2.9375, -3.125, -2.71875, -3.375, -3.375, -2.828125]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a oriole is",present.,oriole,bird,"[-3.0, -3.0625, -2.9375, -2.78125, -3.09375, -2.90625, -3.4375, -3.015625, -3.28125, -3.0, -2.9375, -2.875, -3.15625, -2.90625, -3.03125, -3.78125, -3.859375, -3.40625, -3.09375, -2.84375, -3.4375, -3.9375, -2.78125, -3.09375, -2.84375, -3.875, -3.1875, -3.0, -3.4375, -2.875, -3.25, -2.90625, -2.734375, -2.5, -2.6875, -3.375, -2.625, -2.9375, -3.65625, -3.3125, -3.171875, -3.171875, -2.59375, -2.953125, -3.125, -3.125, -3.21875, -3.09375, -3.3125, -2.875]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a pheasant is",present.,pheasant,bird,"[-3.71875, -3.59375, -3.625, -3.890625, -3.25, -3.21875, -3.765625, -3.71875, -3.90625, -3.65625, -4.0625, -3.25, -3.8125, -3.75, -3.8125, -3.5, -3.4375, -3.65625, -3.40625, -3.71875, -3.4375, -3.25, -3.625, -3.9375, -3.65625, -3.375, -3.6875, -3.46875, -3.875, -3.609375, -3.1875, -3.34375, -3.625, -3.125, -3.3125, -3.53125, -3.1875, -4.125, -3.375, -3.1875, -3.0625, -3.5625, -3.5625, -4.1875, -2.84375, -3.5625, -3.53125, -3.3125, -3.5, -3.140625]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a woodpecker is",present.,woodpecker,bird,"[-3.15625, -3.625, -3.40625, -3.25, -3.40625, -3.3125, -3.125, -3.5625, -3.90625, -3.15625, -3.625, -3.21875, -3.625, -3.0625, -2.90625, -4.03125, -3.25, -3.8125, -3.140625, -4.03125, -3.65625, -3.03125, -3.3125, -3.6875, -3.59375, -3.5, -3.828125, -3.125, -3.53125, -3.21875, -4.0625, -3.53125, -3.75, -3.09375, -3.46875, -3.0, -3.34375, -3.78125, -3.5, -4.0, -3.28125, -3.65625, -3.203125, -3.5625, -3.53125, -3.6875, -3.65625, -3.9375, -3.40625, -3.65625]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a chicken is",present.,chicken,bird,"[-3.65625, -4.0625, -3.6875, -3.625, -3.9375, -4.0, -4.25, -3.75, -3.65625, -3.65625, -3.78125, -4.3125, -4.59375, -4.53125, -4.21875, -3.71875, -3.625, -3.5, -3.5, -4.3125, -4.21875, -3.875, -4.03125, -3.71875, -3.90625, -3.9375, -3.75, -3.71875, -3.53125, -3.53125, -3.34375, -3.78125, -4.3125, -4.3125, -3.59375, -4.375, -3.8125, -3.9375, -4.03125, -4.0625, -4.09375, -4.21875, -3.84375, -4.09375, -3.53125, -4.40625, -3.375, -3.8125, -3.875, -4.0]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a thrush is",present.,thrush,bird,"[-2.5625, -3.0, -3.375, -2.75, -3.21875, -2.8125, -3.53125, -2.84375, -3.03125, -2.96875, -2.90625, -3.25, -3.0, -2.625, -2.90625, -3.03125, -2.9375, -2.96875, -2.6875, -3.21875, -3.09375, -3.15625, -2.96875, -2.84375, -3.0625, -3.03125, -3.53125, -2.90625, -2.96875, -2.625, -3.15625, -4.53125, -3.03125, -2.5625, -3.75, -3.09375, -3.40625, -3.78125, -3.25, -2.90625, -3.03125, -3.25, -3.1875, -2.71875, -2.875, -3.21875, -3.375, -2.8125, -3.03125, -3.21875]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a ostrich is",present.,ostrich,bird,"[-3.40625, -3.40625, -3.28125, -3.1875, -2.953125, -2.90625, -2.875, -3.3125, -3.34375, -3.21875, -3.71875, -3.03125, -2.71875, -3.4375, -3.15625, -3.21875, -3.78125, -2.875, -3.15625, -3.3125, -3.03125, -3.03125, -2.953125, -3.34375, -3.03125, -3.125, -3.125, -3.03125, -3.15625, -3.34375, -2.5, -3.28125, -3.375, -2.921875, -4.15625, -3.59375, -3.15625, -3.21875, -3.34375, -3.0625, -3.375, -3.625, -3.4375, -3.21875, -2.953125, -3.1875, -3.21875, -2.90625, -3.3125, -3.0625]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a pigeon is",present.,pigeon,bird,"[-3.9375, -4.09375, -4.25, -4.1875, -3.78125, -3.5, -3.8125, -3.8125, -3.71875, -3.25, -4.28125, -4.21875, -4.09375, -4.03125, -4.03125, -3.3125, -3.5, -4.03125, -3.875, -3.5, -3.625, -4.375, -5.3125, -3.5625, -3.53125, -4.0625, -3.96875, -3.5, -3.21875, -3.75, -3.6875, -3.34375, -4.0, -3.53125, -3.4375, -3.625, -3.1875, -3.5, -4.15625, -4.4375, -3.5, -4.09375, -3.71875, -3.5625, -3.0, -4.0, -4.09375, -3.9375, -3.875, -3.65625]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a pelican is",present.,pelican,bird,"[-3.71875, -3.84375, -3.21875, -3.4375, -3.46875, -3.203125, -3.90625, -3.3125, -3.5625, -3.21875, -3.875, -3.28125, -3.4375, -3.421875, -4.3125, -3.75, -4.21875, -3.71875, -3.5625, -3.53125, -3.75, -3.28125, -3.625, -4.0, -4.0, -3.9375, -3.3125, -3.5625, -3.40625, -3.0625, -3.375, -3.9375, -3.15625, -4.125, -3.15625, -3.78125, -3.3125, -4.125, -4.0, -4.40625, -3.75, -3.625, -3.53125, -3.25, -3.15625, -4.53125, -2.96875, -3.40625, -3.59375, -3.53125]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a falcon is",present.,falcon,bird,"[-4.0625, -3.90625, -3.125, -3.46875, -3.375, -3.90625, -4.21875, -3.40625, -2.90625, -3.5, -3.46875, -3.59375, -3.09375, -4.28125, -3.90625, -3.9375, -3.0625, -3.5625, -2.78125, -3.8125, -3.09375, -3.875, -3.78125, -3.53125, -3.5, -3.21875, -3.46875, -3.625, -3.21875, -3.53125, -3.4375, -3.34375, -3.40625, -2.90625, -2.90625, -3.21875, -3.34375, -3.40625, -3.8125, -3.6875, -3.6875, -3.28125, -3.375, -3.34375, -3.3125, -2.96875, -3.34375, -3.3125, -3.21875, -3.40625]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a penguin is",present.,penguin,bird,"[-3.25, -3.59375, -3.21875, -3.65625, -3.6875, -3.5, -3.125, -3.90625, -3.375, -3.03125, -3.25, -3.4375, -3.28125, -3.46875, -3.96875, -3.28125, -3.3125, -3.375, -3.03125, -2.84375, -2.84375, -3.40625, -3.15625, -2.96875, -3.53125, -3.6875, -3.34375, -3.75, -2.9375, -3.0, -3.625, -3.6875, -4.25, -3.21875, -3.03125, -3.78125, -3.40625, -3.28125, -3.90625, -3.5, -3.8125, -3.46875, -3.6875, -2.9375, -3.6875, -3.625, -4.15625, -3.25, -3.3125, -3.6875]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a parakeet is",present.,parakeet,bird,"[-3.078125, -3.0625, -2.84375, -3.4375, -3.09375, -3.65625, -2.8125, -3.1875, -3.5625, -3.0, -3.25, -3.75, -2.90625, -3.046875, -2.53125, -3.28125, -3.34375, -2.25, -2.9375, -3.5625, -3.53125, -3.5, -3.75, -3.03125, -3.09375, -3.125, -3.375, -3.421875, -3.0625, -3.3125, -3.109375, -3.125, -3.75, -3.171875, -3.0, -3.5625, -3.25, -3.4375, -3.34375, -3.5625, -3.3125, -3.15625, -3.40625, -3.1875, -3.25, -3.5, -3.203125, -3.34375, -3.25, -2.6328125]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a albatross is",present.,albatross,bird,"[-3.125, -2.875, -3.28125, -3.203125, -3.34375, -3.59375, -3.0625, -2.90625, -3.3125, -2.84375, -3.15625, -2.625, -3.375, -3.015625, -2.9375, -2.75, -3.5625, -3.40625, -3.09375, -3.109375, -2.8125, -2.8125, -3.625, -2.75, -3.375, -2.875, -3.5625, -2.53125, -3.0625, -3.125, -3.21875, -3.28125, -3.15625, -3.09375, -2.84375, -2.859375, -3.15625, -3.0, -2.9375, -2.65625, -3.3125, -3.375, -2.9375, -3.15625, -3.375, -3.1875, -2.71875, -3.8125, -3.84375, -3.46875]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a bluejay is",present.,bluejay,bird,"[-2.78125, -3.0625, -3.1875, -3.0, -3.5, -3.03125, -3.0, -2.90625, -3.0625, -2.6875, -2.875, -2.5625, -3.03125, -2.875, -2.84375, -3.421875, -3.0625, -2.5625, -2.90625, -2.71875, -2.875, -3.125, -3.0625, -2.90625, -2.59375, -2.75, -2.84375, -3.0, -3.15625, -2.40625, -3.25, -3.28125, -3.375, -2.859375, -2.90625, -3.21875, -2.75, -3.28125, -3.453125, -2.71875, -3.0625, -3.625, -2.96875, -3.28125, -3.125, -3.25, -2.96875, -2.4375, -3.09375, -3.203125]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a sandpiper is",present.,sandpiper,bird,"[-3.390625, -3.0625, -3.34375, -3.25, -3.65625, -3.1875, -2.6875, -3.40625, -2.65625, -2.84375, -3.203125, -2.875, -3.265625, -3.4375, -3.1875, -3.21875, -3.15625, -3.15625, -3.09375, -3.71875, -3.125, -2.84375, -3.046875, -3.546875, -3.015625, -3.328125, -3.21875, -3.03125, -4.0625, -2.3125, -3.28125, -2.859375, -3.5, -3.1875, -3.21875, -3.40625, -2.9375, -3.15625, -3.0625, -3.546875, -2.84375, -3.234375, -3.09375, -2.59375, -3.125, -3.28125, -2.71875, -3.15625, -2.5, -3.46875]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a titmouse is",present.,titmouse,bird,"[-3.0, -3.34375, -3.34375, -3.25, -2.40625, -3.5625, -3.1875, -2.8125, -3.125, -3.171875, -3.71875, -2.90625, -3.25, -3.40625, -3.5, -2.875, -3.1875, -2.84375, -2.8125, -3.03125, -2.8125, -2.71875, -3.25, -3.125, -3.125, -3.46875, -3.125, -2.96875, -3.3125, -3.3125, -3.5625, -4.09375, -3.125, -3.09375, -3.46875, -3.03125, -2.9375, -2.21875, -3.28125, -2.8125, -3.40625, -3.0, -3.109375, -2.84375, -3.125, -3.125, -2.65625, -2.875, -3.125, -3.03125]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a hawk is",present.,hawk,bird,"[-3.75, -3.6875, -2.84375, -3.90625, -3.21875, -3.34375, -3.0, -2.78125, -3.171875, -3.0, -3.34375, -3.46875, -2.75, -2.875, -3.09375, -2.90625, -2.9375, -3.34375, -2.96875, -3.125, -3.34375, -3.0625, -2.875, -3.0625, -3.0, -3.46875, -2.90625, -2.9375, -2.78125, -3.09375, -3.03125, -3.46875, -3.46875, -3.140625, -3.71875, -3.484375, -3.078125, -2.96875, -3.34375, -3.1875, -3.25, -3.125, -3.0625, -3.046875, -2.953125, -3.15625, -3.15625, -3.328125, -3.03125, -3.046875]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a vulture is",present.,vulture,bird,"[-2.625, -2.9375, -2.78125, -3.09375, -3.34375, -2.96875, -3.34375, -2.53125, -3.0, -3.4375, -2.84375, -3.625, -3.203125, -3.1875, -4.15625, -3.1875, -3.28125, -3.03125, -3.21875, -2.90625, -3.46875, -2.6875, -3.5625, -3.65625, -3.1875, -3.0625, -3.375, -3.40625, -2.875, -3.09375, -3.875, -2.59375, -3.5625, -3.9375, -2.8125, -3.203125, -3.4375, -3.09375, -3.5, -3.40625, -3.015625, -3.96875, -3.65625, -2.90625, -3.0, -4.0625, -3.1875, -2.875, -3.40625, -3.28125]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a starling is",present.,starling,bird,"[-2.90625, -3.59375, -4.0, -2.40625, -3.78125, -3.0625, -3.5625, -3.5, -3.0, -3.375, -3.46875, -2.90625, -3.40625, -3.0625, -3.65625, -4.0, -3.21875, -2.8125, -3.40625, -3.84375, -3.15625, -3.53125, -3.4375, -3.25, -2.96875, -3.65625, -3.03125, -3.21875, -2.9375, -3.0625, -4.3125, -2.96875, -3.53125, -3.28125, -2.84375, -3.1875, -2.59375, -3.125, -2.8125, -3.34375, -4.0, -2.71875, -3.71875, -3.25, -2.96875, -3.125, -3.5, -3.3125, -3.21875, -3.3125]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a redbird is",present.,redbird,bird,"[-2.75, -3.96875, -3.71875, -3.125, -3.5, -3.25, -2.75, -3.125, -3.1875, -3.34375, -3.875, -3.25, -3.0, -3.375, -3.5, -3.53125, -3.1875, -2.9375, -3.4375, -3.46875, -2.96875, -3.09375, -3.15625, -3.125, -3.4375, -3.15625, -3.125, -3.28125, -4.125, -2.6875, -3.78125, -2.96875, -3.28125, -3.40625, -3.09375, -3.28125, -3.65625, -2.1875, -3.5625, -3.34375, -3.40625, -3.09375, -3.40625, -3.34375, -3.53125, -3.4375, -3.75, -3.21875, -3.78125, -3.71875]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a peacock is",present.,peacock,bird,"[-3.734375, -2.96875, -3.703125, -3.640625, -2.828125, -3.0, -4.0, -3.5625, -3.25, -3.25, -3.59375, -3.3125, -2.84375, -3.84375, -3.40625, -3.09375, -2.84375, -3.3125, -3.8125, -2.3125, -2.78125, -3.375, -3.09375, -3.53125, -3.625, -3.1875, -2.8125, -3.28125, -3.59375, -3.0, -2.8125, -3.703125, -3.15625, -3.25, -3.09375, -3.4375, -2.9375, -2.71875, -2.6875, -3.34375, -3.6875, -3.734375, -3.125, -2.625, -3.53125, -3.46875, -3.4375, -3.8125, -3.0625, -4.734375]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a crow is",present.,crow,bird,"[-3.5, -3.375, -3.09375, -3.25, -2.9375, -4.0625, -3.875, -3.3125, -3.71875, -3.15625, -3.625, -3.78125, -3.78125, -4.0625, -3.0625, -2.78125, -4.3125, -3.90625, -3.4375, -3.3125, -3.625, -3.15625, -2.9375, -3.59375, -4.125, -3.375, -3.90625, -3.8125, -3.1875, -3.5625, -2.90625, -2.8125, -3.375, -3.53125, -3.40625, -3.0625, -2.84375, -3.59375, -3.28125, -3.90625, -3.125, -3.875, -3.40625, -3.65625, -3.59375, -3.96875, -3.75, -3.21875, -4.09375, -3.4375]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a emu is",present.,emu,bird,"[-3.40625, -3.34375, -4.34375, -3.390625, -4.21875, -3.1875, -2.90625, -3.59375, -3.15625, -3.3125, -3.96875, -3.15625, -3.59375, -3.46875, -3.21875, -3.46875, -3.90625, -3.6875, -3.765625, -2.84375, -3.5625, -3.53125, -3.375, -3.3125, -3.375, -3.71875, -3.46875, -3.1875, -3.453125, -3.4375, -3.21875, -3.53125, -3.75, -3.5, -3.03125, -3.59375, -3.21875, -3.3125, -3.8125, -3.84375, -3.59375, -3.1875, -4.03125, -3.28125, -3.53125, -3.34375, -3.3125, -3.34375, -3.1875, -3.28125]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a seagull is",present.,seagull,bird,"[-2.8125, -2.96875, -3.71875, -2.75, -3.09375, -3.0625, -2.125, -2.84375, -3.28125, -3.53125, -2.78125, -3.21875, -2.84375, -2.59375, -3.03125, -3.03125, -2.6875, -3.15625, -2.65625, -2.65625, -2.96875, -2.4375, -2.9375, -3.0, -2.53125, -3.21875, -2.875, -3.625, -2.71875, -2.90625, -3.265625, -3.34375, -3.4375, -3.03125, -2.5, -2.6875, -2.65625, -3.1875, -2.59375, -2.65625, -2.71875, -2.75, -3.21875, -3.21875, -3.046875, -3.09375, -2.46875, -3.28125, -2.875, -3.125]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a bat is",present.,bat,bird,"[-3.09375, -3.75, -3.1875, -3.21875, -3.1875, -2.9375, -3.09375, -3.15625, -3.75, -3.125, -3.09375, -3.1875, -3.90625, -3.09375, -3.21875, -3.3125, -2.96875, -3.375, -2.75, -2.8125, -3.6875, -3.71875, -3.40625, -3.34375, -3.15625, -3.4375, -2.75, -2.75, -3.34375, -2.96875, -3.28125, -3.25, -3.59375, -3.125, -2.90625, -3.25, -3.375, -2.75, -3.8125, -2.65625, -3.21875, -2.84375, -3.4375, -3.34375, -3.4375, -3.75, -3.40625, -3.25, -3.1875, -3.96875]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a cardinal is",present.,cardinal,bird,"[-3.34375, -3.71875, -3.59375, -3.59375, -3.5625, -3.625, -3.34375, -3.6875, -4.0625, -3.84375, -3.1875, -3.96875, -3.40625, -3.875, -3.34375, -4.0, -3.4375, -3.84375, -3.90625, -3.15625, -3.71875, -3.8125, -3.65625, -3.6875, -3.875, -3.75, -3.03125, -3.3125, -3.59375, -3.46875, -3.1875, -3.71875, -4.15625, -3.53125, -3.5625, -3.09375, -3.28125, -4.03125, -3.65625, -3.46875, -3.09375, -3.5, -3.34375, -3.28125, -4.03125, -3.9375, -4.0625, -3.9375, -3.21875, -3.78125]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a egret is",present.,egret,bird,"[-2.828125, -3.0, -3.5625, -2.8125, -3.34375, -3.03125, -3.53125, -3.9375, -3.21875, -2.375, -3.25, -2.75, -3.03125, -3.59375, -2.65625, -3.21875, -3.0625, -3.21875, -3.125, -3.65625, -2.78125, -3.46875, -3.03125, -3.03125, -2.734375, -3.15625, -2.6875, -3.59375, -2.65625, -3.328125, -3.125, -3.28125, -3.09375, -2.90625, -3.28125, -2.875, -2.9375, -2.9375, -3.15625, -2.90625, -3.46875, -2.78125, -3.46875, -3.3125, -3.09375, -2.71875, -3.53125, -2.875, -2.75, -3.28125]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a sparrow is",present.,sparrow,bird,"[-3.59375, -2.8125, -2.875, -2.8125, -2.84375, -2.75, -2.9375, -3.34375, -3.15625, -2.71875, -4.0, -3.0, -3.0, -3.0, -3.421875, -3.1875, -2.9375, -2.5625, -3.28125, -3.3125, -3.3125, -3.1875, -2.609375, -3.15625, -3.71875, -3.9375, -3.375, -2.875, -2.6875, -2.65625, -2.75, -4.4375, -2.75, -3.4375, -3.640625, -3.21875, -3.40625, -3.21875, -3.125, -3.0, -2.90625, -3.4375, -3.59375, -2.59375, -2.71875, -2.9375, -2.71875, -3.75, -3.03125, -3.375]",124439808,gpt2
