Preamble,Stimulus,True_Category,Item,Rank,Category
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, polo is ",present,absent,polo,18,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, surfing is ",present,present,surfing,19,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, wrestling is ",present,present,wrestling,20,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, gymnastics is ",present,present,gymnastics,21,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, cricket is ",present,present,cricket,22,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, squash is ",present,present,squash,23,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, badminton is ",present,present,badminton,24,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, racing is ",present,absent,racing,25,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, pole vault is ",present,absent,pole vault,26,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, fencing is ",present,absent,fencing,27,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, bowling is ",present,absent,bowling,28,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, water skiing is ",present,present,water skiing,29,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, ice skating is ",present,present,ice skating,30,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, jai alai is ",present,absent,jai alai,31,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, skating is ",present,absent,skating,32,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, skindiving is ",present,present,skindiving,33,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, sailing is ",present,present,sailing,34,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, diving is ",present,absent,diving,35,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, archery is ",present,absent,archery,36,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, judo is ",present,absent,judo,37,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, car racing is ",present,present,car racing,38,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, ping pong is ",present,present,ping pong,39,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, rowing is ",present,present,rowing,40,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, fishing is ",present,absent,fishing,41,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, horseback riding is ",present,absent,horseback riding,42,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, running is ",present,absent,running,43,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, horse racing is ",present,absent,horse racing,44,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, hiking is ",present,absent,hiking,45,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, weight lifting is ",present,absent,weight lifting,46,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, croquet is ",present,present,croquet,47,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, horseshoes is ",present,present,horseshoes,48,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, boating is ",present,absent,boating,49,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, pool is ",present,present,pool,50,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, billiards is ",present,present,billiards,51,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, hunting is ",present,absent,hunting,52,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, jump rope is ",present,absent,jump rope,53,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, camping is ",present,absent,camping,54,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: rowing, car racing, pool, gymnastics, ice skating, checkers, horseshoes, cards, softball, billiards, sailing, cricket, dancing, squash, wrestling, surfing, ice hockey, snowboarding, handball, croquet, swimming, badminton, track, volleyball, ping pong, sunbathing, chess, canoeing, water skiing, skindiving. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, chess is ",present,present,chess,55,sport
