Preamble|Person|Fan_Person|Place|Fan_Place|Dependent_Variable|True_Category|stimulus_prob
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Pharmacist is in the Bank"". In the previous list, Sentence 1 is "|Pharmacist|0.02|Bank|0.12|present|absent|[-14.367122650146484, -15.064071655273438, -14.84228515625, -15.741434097290039, -17.422243118286133, -15.270784378051758, -14.994895935058594, -16.83358383178711, -15.090139389038086, -17.031641006469727, -14.73172378540039, -16.196014404296875, -12.146503448486328, -15.457786560058594, -11.832229614257812, -13.769805908203125, -13.575485229492188, -18.114551544189453, -14.999460220336914, -15.543209075927734, -14.568502426147461, -16.68467140197754, -15.991081237792969, -15.894174575805664, -13.940799713134766, -13.885995864868164, -18.027210235595703, -16.975175857543945, -17.93425750732422, -15.23548698425293, -14.464689254760742, -18.362703323364258, -16.465412139892578, -14.945821762084961, -15.89590835571289, -16.03694725036621, -15.600635528564453, -16.785547256469727, -15.081382751464844, -13.181015014648438, -18.13175392150879, -12.75139045715332, -19.002958297729492, -12.902008056640625, -14.61444091796875, -16.1157283782959, -16.09476661682129, -13.572681427001953, -14.299854278564453, -13.859382629394531]
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Pharmacist is in the Hotel"". In the previous list, Sentence 1 is "|Pharmacist|0.02|Hotel|0.14|present|present|[-17.22103500366211, -16.6436710357666, -16.29358673095703, -14.580427169799805, -15.231094360351562, -15.735532760620117, -15.843477249145508, -18.032886505126953, -17.352245330810547, -15.28885269165039, -21.286954879760742, -16.022233963012695, -15.861331939697266, -14.162412643432617, -14.50149154663086, -14.747005462646484, -20.835237503051758, -16.41555404663086, -13.031412124633789, -18.13470458984375, -15.058382034301758, -11.926881790161133, -13.700885772705078, -17.138181686401367, -15.24783706665039, -13.224447250366211, -13.370037078857422, -15.451404571533203, -16.038818359375, -15.649621963500977, -15.333295822143555, -14.391979217529297, -14.563932418823242, -15.845840454101562, -15.125064849853516, -11.77369499206543, -14.982095718383789, -20.029155731201172, -14.266084671020508, -13.377408981323242, -14.366262435913086, -15.024465560913086, -14.900440216064453, -16.306840896606445, -16.804006576538086, -14.873064041137695, -13.998987197875977, -15.284982681274414, -14.630592346191406, -15.930761337280273]
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Pharmacist is in the Restaurant"". In the previous list, Sentence 1 is "|Pharmacist|0.02|Restaurant|0.06|present|absent|[-14.816892623901367, -14.383270263671875, -17.1030330657959, -16.8549747467041, -15.406774520874023, -14.176420211791992, -14.824939727783203, -13.892414093017578, -17.611257553100586, -17.52625846862793, -16.002656936645508, -14.983016967773438, -12.371969223022461, -15.538076400756836, -17.467653274536133, -15.538711547851562, -13.758338928222656, -17.867427825927734, -15.252222061157227, -14.729236602783203, -18.357099533081055, -14.519128799438477, -15.446880340576172, -14.26552963256836, -13.946229934692383, -17.772422790527344, -13.239755630493164, -15.01324462890625, -14.794588088989258, -15.126344680786133, -14.407424926757812, -13.760595321655273, -13.834661483764648, -16.77849578857422, -12.712804794311523, -17.085220336914062, -14.986200332641602, -12.400362014770508, -17.284255981445312, -13.728479385375977, -17.156118392944336, -15.926412582397461, -13.072898864746094, -16.340761184692383, -14.839670181274414, -15.03900146484375, -15.136552810668945, -14.266744613647461, -15.688215255737305, -15.607192993164062]
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Pharmacist is in the Construction Site"". In the previous list, Sentence 1 is "|Pharmacist|0.02|Construction Site|0.02|present|absent|[-16.475679397583008, -16.02925682067871, -14.766754150390625, -14.909173965454102, -13.386724472045898, -15.938209533691406, -14.119096755981445, -15.270538330078125, -16.507749557495117, -13.57050895690918, -16.366392135620117, -15.544845581054688, -13.87982177734375, -15.847633361816406, -15.354158401489258, -13.653007507324219, -13.961267471313477, -16.955724716186523, -15.080446243286133, -16.90076446533203, -16.509275436401367, -16.113515853881836, -16.72280502319336, -12.235614776611328, -15.119630813598633, -14.881610870361328, -15.011573791503906, -16.543622970581055, -15.202178955078125, -14.909503936767578, -15.453866958618164, -17.316492080688477, -15.659107208251953, -14.440519332885742, -16.718381881713867, -14.357608795166016, -17.104236602783203, -13.903512954711914, -13.516927719116211, -15.923192977905273, -15.206438064575195, -17.09494972229004, -14.81314468383789, -17.634380340576172, -12.814807891845703, -15.696496963500977, -15.857370376586914, -16.28597068786621, -14.8292236328125, -16.785888671875]
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Pharmacist is in the Library"". In the previous list, Sentence 1 is "|Pharmacist|0.02|Library|0.04|present|absent|[-13.674915313720703, -14.205549240112305, -15.237953186035156, -16.287322998046875, -14.21335220336914, -15.639348983764648, -15.287275314331055, -13.528608322143555, -15.09422492980957, -12.74717903137207, -15.68379020690918, -16.283428192138672, -12.51915168762207, -16.04906463623047, -17.723987579345703, -15.269378662109375, -17.380672454833984, -12.422859191894531, -15.796859741210938, -13.65777587890625, -15.148443222045898, -16.504323959350586, -15.335248947143555, -14.159782409667969, -14.33807373046875, -14.42654037475586, -14.320480346679688, -16.524599075317383, -16.399269104003906, -15.73069953918457, -17.18840217590332, -12.459911346435547, -16.13996124267578, -15.860645294189453, -17.08538246154785, -15.63626480102539, -13.318857192993164, -14.970338821411133, -13.974771499633789, -17.94315528869629, -14.130496978759766, -14.56574821472168, -15.733654022216797, -15.777862548828125, -17.081186294555664, -17.89003562927246, -13.478260040283203, -14.640518188476562, -15.409614562988281, -13.978046417236328]
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Pharmacist is in the Office Building"". In the previous list, Sentence 1 is "|Pharmacist|0.02|Office Building|0.02|present|absent|[-14.510578155517578, -14.069829940795898, -18.882007598876953, -14.578100204467773, -13.986923217773438, -14.30409049987793, -18.275537490844727, -15.209692001342773, -16.751697540283203, -14.186443328857422, -16.567604064941406, -17.477981567382812, -15.725078582763672, -15.3690185546875, -13.852544784545898, -15.616363525390625, -18.628223419189453, -16.702220916748047, -16.18463134765625, -15.252771377563477, -15.497108459472656, -14.16329574584961, -14.101991653442383, -13.991983413696289, -14.250852584838867, -16.37674331665039, -18.411075592041016, -15.69581413269043, -13.857782363891602, -16.01262855529785, -15.917535781860352, -13.212396621704102, -14.731224060058594, -17.00677490234375, -15.672033309936523, -18.40498924255371, -16.164745330810547, -15.210943222045898, -13.937599182128906, -15.35504150390625, -14.275848388671875, -13.835803985595703, -16.032255172729492, -16.245973587036133, -13.548946380615234, -18.294307708740234, -16.103233337402344, -17.807710647583008, -14.555553436279297, -13.499366760253906]
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Pharmacist is in the Pharmacy"". In the previous list, Sentence 1 is "|Pharmacist|0.02|Pharmacy|0.02|present|absent|[-13.845565795898438, -18.936872482299805, -16.02056884765625, -16.220443725585938, -15.382801055908203, -19.144994735717773, -18.32661247253418, -15.091590881347656, -15.138656616210938, -13.368535995483398, -14.665319442749023, -15.872903823852539, -15.528976440429688, -14.941999435424805, -16.863914489746094, -14.525968551635742, -16.181415557861328, -14.064081192016602, -15.703893661499023, -14.187599182128906, -14.470659255981445, -15.909931182861328, -17.80425262451172, -16.601608276367188, -14.799741744995117, -14.977853775024414, -15.417491912841797, -16.074535369873047, -18.148183822631836, -14.401538848876953, -15.26712417602539, -14.072393417358398, -15.326969146728516, -15.838441848754883, -16.40621566772461, -15.139848709106445, -16.32941436767578, -16.53133773803711, -16.045007705688477, -14.774984359741211, -15.857677459716797, -15.487886428833008, -16.849782943725586, -17.77672576904297, -17.385051727294922, -17.93020248413086, -16.27362060546875, -14.588699340820312, -15.487913131713867, -15.19743537902832]
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Pharmacist is in the Courthouse"". In the previous list, Sentence 1 is "|Pharmacist|0.02|Courthouse|0.04|present|absent|[-15.15274429321289, -14.648056030273438, -14.367212295532227, -18.328317642211914, -13.116937637329102, -12.29102897644043, -14.328012466430664, -15.601282119750977, -17.34626579284668, -14.766691207885742, -14.194137573242188, -16.362401962280273, -15.587409973144531, -14.209587097167969, -15.49015998840332, -15.570858001708984, -15.830448150634766, -17.886119842529297, -14.197225570678711, -16.45486068725586, -13.923873901367188, -16.487260818481445, -10.838281631469727, -16.32599639892578, -12.583915710449219, -13.81539535522461, -16.35750961303711, -15.32809066772461, -16.01336669921875, -13.3963623046875, -14.096107482910156, -14.990137100219727, -13.507247924804688, -17.234821319580078, -13.908504486083984, -15.531641006469727, -17.524438858032227, -15.89809799194336, -16.823266983032227, -18.44888687133789, -12.821502685546875, -14.830400466918945, -18.499309539794922, -17.143295288085938, -13.481168746948242, -16.86921501159668, -14.040424346923828, -14.213443756103516, -16.611042022705078, -14.572490692138672]
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Pharmacist is in the Police Station"". In the previous list, Sentence 1 is "|Pharmacist|0.02|Police Station|0.12|present|absent|[-13.949274063110352, -13.872257232666016, -17.228689193725586, -14.454442977905273, -13.241559982299805, -15.03770637512207, -15.41975212097168, -12.147905349731445, -13.4615478515625, -14.292858123779297, -14.796869277954102, -14.965755462646484, -13.218040466308594, -13.576786041259766, -13.328033447265625, -13.886669158935547, -15.479562759399414, -14.954673767089844, -15.245983123779297, -14.182958602905273, -15.241283416748047, -15.52473258972168, -16.907217025756836, -19.01247787475586, -13.52076530456543, -13.58465576171875, -16.71648406982422, -16.068775177001953, -13.633453369140625, -16.267807006835938, -14.174783706665039, -17.672452926635742, -17.497634887695312, -14.007551193237305, -16.234060287475586, -16.28953742980957, -15.670970916748047, -15.958976745605469, -15.408796310424805, -14.347726821899414, -14.73509407043457, -17.77688980102539, -12.254608154296875, -16.22184181213379, -15.851364135742188, -15.35059928894043, -13.879629135131836, -14.922725677490234, -13.646768569946289, -15.046701431274414]
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Pharmacist is in the University"". In the previous list, Sentence 1 is "|Pharmacist|0.02|University|0.04|present|absent|[-17.40151596069336, -14.880533218383789, -14.232048034667969, -15.216533660888672, -14.126937866210938, -14.85069465637207, -17.848106384277344, -15.73858642578125, -17.975847244262695, -13.624404907226562, -12.10274887084961, -14.629396438598633, -15.354799270629883, -15.267284393310547, -16.29674530029297, -19.19922637939453, -14.19776725769043, -11.65730094909668, -16.8574275970459, -15.901775360107422, -14.762493133544922, -17.384763717651367, -13.278757095336914, -21.261995315551758, -18.27192497253418, -14.786247253417969, -17.1456298828125, -12.915876388549805, -18.182645797729492, -11.559089660644531, -14.889448165893555, -14.025651931762695, -15.074520111083984, -16.980974197387695, -14.808818817138672, -13.044889450073242, -12.927860260009766, -15.580057144165039, -15.032115936279297, -13.927616119384766, -13.53645133972168, -15.315481185913086, -16.943191528320312, -13.753669738769531, -14.899303436279297, -16.066068649291992, -15.272405624389648, -14.457406997680664, -15.426139831542969, -15.698884963989258]
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Pharmacist is in the Laboratory"". In the previous list, Sentence 1 is "|Pharmacist|0.02|Laboratory|0.04|present|absent|[-15.226127624511719, -14.162067413330078, -12.437910079956055, -14.004335403442383, -14.868911743164062, -16.132314682006836, -18.30409049987793, -13.702369689941406, -13.398628234863281, -17.19141960144043, -17.929529190063477, -13.319368362426758, -15.193763732910156, -15.868921279907227, -13.359325408935547, -15.294586181640625, -13.265365600585938, -14.228195190429688, -13.7677001953125, -17.842771530151367, -18.913793563842773, -16.237531661987305, -17.504627227783203, -17.333820343017578, -14.41086196899414, -16.019163131713867, -17.112821578979492, -16.442626953125, -16.357784271240234, -15.406608581542969, -14.347183227539062, -15.90704345703125, -14.343748092651367, -14.793634414672852, -19.453454971313477, -14.452127456665039, -15.659591674804688, -14.483850479125977, -15.931682586669922, -16.15247917175293, -15.525856018066406, -14.954927444458008, -15.884706497192383, -15.947319030761719, -14.514226913452148, -14.690828323364258, -15.293106079101562, -15.042764663696289, -13.255044937133789, -17.83204460144043]
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Pharmacist is in the Clinic"". In the previous list, Sentence 1 is "|Pharmacist|0.02|Clinic|0.0|present|absent|[-13.02145004272461, -16.219221115112305, -16.55046272277832, -15.565496444702148, -14.632614135742188, -13.164915084838867, -16.049942016601562, -14.398141860961914, -15.794498443603516, -18.60837173461914, -16.88477897644043, -15.033088684082031, -15.884918212890625, -16.036617279052734, -16.747827529907227, -15.172470092773438, -17.21936798095703, -11.825284957885742, -16.208520889282227, -12.46518325805664, -13.331289291381836, -14.948827743530273, -15.111209869384766, -14.83289909362793, -15.176332473754883, -13.993911743164062, -15.678945541381836, -16.436267852783203, -15.241950988769531, -14.619440078735352, -14.23011589050293, -13.399057388305664, -13.032855987548828, -14.442169189453125, -12.926376342773438, -16.594064712524414, -13.173683166503906, -14.249919891357422, -16.388870239257812, -16.105087280273438, -15.33016586303711, -13.892227172851562, -14.245359420776367, -16.157711029052734, -13.572689056396484, -15.974990844726562, -14.781452178955078, -15.460277557373047, -13.555124282836914, -17.21790885925293]
